N/A,PHSABC\vccdosim 09-Mar-2022 5:55:31 PM,,,,,,,,,,
x  = Dose ( cGy),y / % transmission,,,,,calibration strips given known dose,,,,,
derived calibration curve ,,,,,,,,,,,
,RED,,GREEN,,BLUE,DOSE (cGy),RED (%),DOSE (cGy),GREEN (%),DOSE (cGy),BLUE (%)
x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6
4093.7,1.6,4093.7,1.4,4093.7,19.9,,,,,,
4105.9,1.6,4105.9,1.4,4105.9,19.9,,,,,,
4118,1.6,4118,1.3,4118,19.9,,,,,,
4130.1,1.6,4130.1,1.3,4130.1,19.9,,,,,,
4142.3,1.6,4142.3,1.3,4142.3,19.9,,,,,,
4154.4,1.5,4154.4,1.3,4154.4,19.9,,,,,,
4166.6,1.5,4166.6,1.2,4166.6,19.9,,,,,,
4178.7,1.5,4178.7,1.2,4178.7,19.9,,,,,,
4190.9,1.5,4190.9,1.2,4190.9,19.9,,,,,,
4203,1.5,4203,1.2,4203,19.8,,,,,,
4215.2,1.5,4215.2,1.1,4215.2,19.8,,,,,,
4227.3,1.5,4227.3,1.1,4227.3,19.8,,,,,,
4239.5,1.5,4239.5,1.1,4239.5,19.8,,,,,,
4251.6,1.4,4251.6,1,4251.6,19.8,,,,,,
4263.8,1.4,4263.8,1,4263.8,19.8,,,,,,
4275.9,1.4,4275.9,1,4275.9,19.8,,,,,,
4288.1,1.4,4288.1,1,4288.1,19.8,,,,,,
4300.2,1.4,4300.2,0.9,4300.2,19.8,,,,,,
4312.4,1.4,4312.4,0.9,4312.4,19.8,,,,,,
4324.5,1.4,4324.5,0.9,4324.5,19.8,,,,,,
4336.7,1.3,4336.7,0.9,4336.7,19.8,,,,,,
4348.8,1.3,4348.8,0.8,4348.8,19.8,,,,,,
4360.9,1.3,4360.9,0.8,4360.9,19.8,,,,,,
4373.1,1.3,4373.1,0.8,4373.1,19.8,,,,,,
4385.2,1.3,4385.2,0.8,4385.2,19.8,,,,,,
4397.4,1.3,4397.4,0.7,4397.4,19.8,,,,,,
4409.5,1.3,4409.5,0.7,4409.5,19.8,,,,,,
4421.7,1.3,4421.7,0.7,4421.7,19.8,,,,,,
4433.8,1.2,4433.8,0.7,4433.8,19.8,,,,,,
4446,1.2,4446,0.6,4446,19.7,,,,,,
4458.1,1.2,4458.1,0.6,4458.1,19.7,,,,,,
4470.3,1.2,4470.3,0.6,4470.3,19.7,,,,,,
4482.4,1.2,4482.4,0.6,4482.4,19.7,,,,,,
4494.6,1.2,4494.6,0.5,4494.6,19.7,,,,,,
4506.7,1.2,4506.7,0.5,4506.7,19.7,,,,,,
